,train,val,test
0,slide_78,slide_32,slide_28
1,slide_282,slide_121,patient_008_node_4
2,patient_066_node_0,patient_086_node_3,slide_18
3,patient_025_node_4,patient_023_node_3,patient_035_node_4
4,slide_348,slide_381,slide_376
5,slide_266,patient_012_node_1,slide_22
6,patient_018_node_3,patient_000_node_1,slide_328
7,patient_063_node_4,patient_077_node_1,slide_48
8,,slide_101,patient_004_node_2
9,,patient_073_node_4,slide_85
10,,patient_090_node_3,slide_380
11,,patient_009_node_4,patient_023_node_0
12,,patient_034_node_0,patient_090_node_2
13,,patient_069_node_4,slide_288
14,,slide_146,patient_089_node_2
15,,slide_19,slide_115
16,,slide_350,patient_085_node_1
17,,slide_25,patient_050_node_1
18,,slide_388,slide_396
19,,slide_292,patient_028_node_4
20,,slide_109,patient_067_node_0
21,,slide_147,slide_20
22,,slide_324,patient_064_node_4
23,,patient_046_node_0,slide_119
24,,patient_059_node_3,patient_088_node_0
25,,slide_87,slide_345
26,,patient_039_node_4,patient_011_node_4
27,,patient_075_node_1,patient_025_node_1
28,,patient_001_node_1,patient_066_node_4
29,,patient_000_node_0,patient_057_node_2
30,,patient_041_node_2,slide_106
31,,patient_030_node_2,patient_015_node_0
32,,patient_016_node_3,patient_024_node_0
33,,patient_062_node_4,slide_74
34,,slide_289,patient_075_node_2
35,,slide_127,patient_075_node_0
36,,slide_49,slide_67
37,,patient_023_node_4,patient_059_node_4
38,,patient_099_node_1,patient_003_node_2
39,,slide_384,slide_113
40,,slide_154,slide_294
41,,patient_047_node_3,patient_042_node_0
42,,slide_389,slide_392
43,,patient_056_node_4,patient_071_node_0
44,,patient_075_node_3,patient_056_node_2
45,,patient_083_node_3,slide_326
46,,patient_077_node_3,patient_012_node_3
47,,patient_056_node_1,slide_70
48,,patient_017_node_0,patient_059_node_1
49,,slide_323,slide_140
50,,patient_096_node_1,slide_277
51,,patient_095_node_2,patient_010_node_3
52,,slide_123,slide_116
53,,patient_099_node_0,patient_057_node_3
54,,patient_003_node_3,patient_031_node_2
55,,patient_060_node_4,slide_8
56,,patient_027_node_4,patient_020_node_2
57,,slide_300,slide_382
58,,slide_280,patient_076_node_3
59,,slide_247,patient_074_node_4
60,,slide_321,patient_015_node_4
61,,slide_318,slide_240
62,,slide_270,slide_230
63,,patient_062_node_3,patient_040_node_2
64,,slide_320,slide_243
65,,slide_219,patient_008_node_0
66,,patient_069_node_2,patient_070_node_3
67,,slide_264,patient_026_node_0
68,,patient_046_node_4,patient_086_node_0
69,,patient_010_node_0,slide_184
70,,patient_004_node_4,patient_039_node_0
71,,patient_028_node_2,patient_063_node_2
72,,slide_342,patient_052_node_2
73,,slide_286,slide_224
74,,patient_019_node_3,patient_045_node_4
75,,slide_272,slide_379
76,,patient_069_node_3,patient_038_node_4
77,,slide_196,slide_363
78,,slide_166,slide_227
79,,slide_186,slide_236
80,,slide_248,slide_377
81,,patient_073_node_1,slide_233
82,,patient_073_node_3,slide_308
83,,patient_033_node_3,slide_252
84,,slide_173,patient_092_node_4
85,,patient_091_node_4,patient_097_node_3
86,,patient_032_node_1,slide_229
87,,patient_068_node_1,slide_212
88,,patient_045_node_1,patient_033_node_1
89,,patient_021_node_0,patient_049_node_1
