,train,val,test
0,patient_058_node_0,slide_309,patient_041_node_1
1,slide_83,slide_134,patient_053_node_0
2,slide_307,slide_137,patient_077_node_3
3,slide_151,patient_076_node_0,slide_394
4,slide_114,slide_392,slide_304
5,patient_004_node_1,patient_074_node_0,slide_347
6,patient_093_node_3,slide_298,patient_094_node_3
7,patient_068_node_3,slide_17,patient_086_node_3
8,slide_360,patient_025_node_2,slide_159
9,patient_030_node_3,slide_289,patient_033_node_0
10,patient_005_node_2,patient_071_node_4,patient_056_node_3
11,slide_116,patient_090_node_0,patient_044_node_1
12,slide_287,patient_082_node_1,patient_063_node_1
13,slide_99,patient_039_node_3,slide_367
14,patient_043_node_3,slide_106,slide_352
15,slide_14,patient_093_node_2,slide_133
16,slide_213,patient_017_node_0,patient_051_node_3
17,slide_267,slide_273,slide_284
18,slide_321,patient_061_node_0,slide_98
19,patient_061_node_4,patient_088_node_0,slide_27
20,slide_368,patient_004_node_3,slide_78
21,slide_183,slide_148,patient_090_node_1
22,slide_233,slide_370,patient_016_node_3
23,patient_094_node_1,patient_070_node_4,slide_279
24,patient_073_node_3,slide_327,slide_115
25,patient_072_node_1,slide_125,patient_048_node_3
26,slide_241,patient_078_node_2,slide_39
27,slide_258,patient_002_node_1,slide_105
28,slide_383,slide_285,patient_056_node_4
29,patient_091_node_3,patient_047_node_1,slide_326
30,slide_270,patient_088_node_2,slide_336
31,patient_022_node_0,slide_122,patient_082_node_0
32,,slide_313,patient_085_node_4
33,,patient_040_node_3,patient_025_node_4
34,,slide_328,patient_042_node_0
35,,slide_306,slide_389
36,,patient_090_node_3,slide_75
37,,patient_073_node_4,slide_372
38,,patient_056_node_1,slide_292
39,,patient_035_node_1,patient_007_node_3
40,,patient_030_node_2,patient_011_node_2
41,,slide_275,patient_097_node_2
42,,slide_57,slide_324
43,,slide_322,patient_056_node_0
44,,patient_059_node_2,patient_098_node_0
45,,patient_043_node_1,patient_044_node_2
46,,patient_068_node_2,patient_001_node_1
47,,patient_016_node_4,patient_032_node_0
48,,slide_102,slide_100
49,,patient_031_node_1,patient_008_node_3
50,,patient_098_node_4,patient_075_node_0
51,,patient_092_node_2,slide_364
52,,slide_30,patient_047_node_3
53,,patient_088_node_3,patient_047_node_4
54,,slide_101,slide_31
55,,slide_311,patient_030_node_0
56,,patient_015_node_2,slide_234
57,,slide_299,patient_077_node_4
58,,patient_016_node_1,slide_245
59,,patient_062_node_2,patient_024_node_1
60,,slide_353,patient_062_node_3
61,,slide_161,patient_084_node_2
62,,patient_051_node_4,slide_348
63,,slide_160,slide_334
64,,patient_091_node_4,patient_092_node_0
65,,slide_232,slide_167
66,,slide_229,slide_254
67,,slide_248,slide_256
68,,patient_033_node_2,patient_007_node_4
69,,patient_021_node_3,patient_072_node_4
70,,patient_026_node_0,patient_065_node_0
71,,patient_020_node_2,patient_018_node_3
72,,slide_238,slide_342
73,,slide_269,patient_087_node_1
74,,slide_296,slide_261
75,,patient_050_node_4,patient_021_node_1
76,,slide_374,slide_222
77,,patient_029_node_2,patient_073_node_1
78,,slide_330,slide_194
79,,patient_084_node_3,patient_051_node_2
80,,patient_005_node_3,patient_014_node_2
81,,slide_218,patient_075_node_4
82,,patient_064_node_3,patient_014_node_3
83,,slide_303,slide_260
84,,slide_227,slide_280
85,,patient_032_node_1,slide_266
86,,slide_203,slide_255
87,,slide_281,patient_094_node_4
88,,slide_168,slide_217
89,,slide_192,patient_037_node_1
