,train,val,test
0,slide_101,patient_071_node_2,patient_089_node_2
1,patient_041_node_4,slide_154,patient_013_node_0
2,slide_14,slide_309,patient_054_node_3
3,slide_87,patient_054_node_0,slide_132
4,patient_068_node_3,slide_117,patient_046_node_0
5,slide_376,slide_79,patient_085_node_2
6,patient_040_node_4,patient_008_node_2,patient_054_node_2
7,patient_056_node_3,slide_9,patient_055_node_1
8,slide_116,patient_054_node_4,patient_040_node_1
9,patient_081_node_3,patient_041_node_3,slide_350
10,patient_077_node_1,patient_058_node_2,patient_072_node_3
11,patient_043_node_2,patient_021_node_2,patient_061_node_2
12,patient_015_node_3,slide_18,slide_140
13,patient_087_node_4,patient_056_node_0,slide_47
14,slide_22,slide_27,patient_023_node_3
15,patient_037_node_4,patient_064_node_4,slide_145
16,slide_260,patient_061_node_3,patient_060_node_2
17,patient_080_node_0,patient_003_node_1,slide_94
18,patient_027_node_2,patient_047_node_1,slide_26
19,patient_022_node_1,patient_004_node_0,slide_325
20,patient_065_node_4,patient_059_node_2,patient_088_node_0
21,patient_052_node_2,slide_146,patient_016_node_2
22,patient_027_node_0,patient_035_node_1,slide_284
23,slide_200,slide_35,slide_83
24,patient_080_node_2,patient_011_node_1,slide_345
25,slide_193,slide_352,patient_079_node_3
26,patient_037_node_1,patient_071_node_1,slide_307
27,slide_303,patient_043_node_0,patient_085_node_3
28,patient_063_node_3,patient_037_node_3,slide_65
29,slide_286,patient_033_node_4,patient_002_node_4
30,patient_026_node_4,patient_071_node_0,slide_106
31,slide_373,patient_030_node_3,patient_036_node_0
32,,patient_030_node_1,patient_022_node_3
33,,patient_082_node_3,patient_048_node_2
34,,slide_396,patient_078_node_3
35,,slide_148,slide_30
36,,slide_51,slide_10
37,,patient_085_node_0,patient_093_node_3
38,,slide_80,slide_128
39,,patient_064_node_2,patient_030_node_0
40,,slide_29,slide_55
41,,slide_75,slide_4
42,,patient_086_node_2,patient_041_node_2
43,,patient_049_node_3,slide_31
44,,slide_104,patient_044_node_2
45,,patient_015_node_0,slide_136
46,,patient_005_node_0,slide_143
47,,patient_083_node_4,patient_042_node_1
48,,patient_079_node_0,patient_059_node_1
49,,patient_042_node_2,patient_098_node_2
50,,patient_007_node_1,patient_075_node_1
51,,patient_083_node_3,slide_95
52,,patient_066_node_0,patient_004_node_3
53,,slide_34,patient_035_node_0
54,,patient_057_node_0,patient_057_node_1
55,,patient_027_node_1,patient_097_node_2
56,,patient_086_node_4,slide_243
57,,patient_017_node_3,slide_176
58,,patient_081_node_4,slide_247
59,,patient_088_node_1,slide_188
60,,patient_069_node_2,patient_075_node_4
61,,patient_030_node_4,patient_097_node_4
62,,slide_391,patient_018_node_3
63,,patient_021_node_3,slide_231
64,,patient_032_node_1,patient_016_node_0
65,,slide_333,slide_180
66,,slide_261,patient_013_node_4
67,,patient_026_node_0,slide_171
68,,patient_016_node_1,slide_253
69,,patient_096_node_2,slide_213
70,,slide_310,patient_038_node_0
71,,slide_343,slide_308
72,,patient_051_node_0,slide_187
73,,slide_291,patient_018_node_1
74,,slide_237,patient_094_node_2
75,,patient_076_node_3,slide_172
76,,slide_297,slide_371
77,,patient_019_node_3,slide_191
78,,patient_073_node_3,slide_271
79,,slide_259,slide_164
80,,patient_066_node_3,slide_330
81,,patient_019_node_1,patient_049_node_2
82,,slide_219,slide_234
83,,slide_235,patient_072_node_0
84,,slide_162,slide_316
85,,patient_088_node_4,patient_020_node_2
86,,slide_166,patient_070_node_3
87,,patient_018_node_4,slide_254
88,,slide_175,slide_353
89,,patient_069_node_1,slide_382
