,train,val,test
0,54928,14051,32032
1,42125,43796,38669
2,40129,55287,1952
3,46769,45990,48506
4,286,64824,3191
5,46444,52420,30369
6,34690,57696,7482
7,18810,20205,18014
8,52784,58974,44283
9,8280,27315,51346
10,8805,17416,52275
11,61689,17854,64111
12,33708,63897,11417
13,39258,65371,10642
14,36583,39172,54990
15,33976,57100,26603
16,56993,35998,6140
17,2227,43390,18568
18,56117,15139,39425
19,21445,14542,2706
20,,20316,49281
21,,43432,40639
22,,431,35239
23,,58895,12159
24,,54949,27249
25,,17637,43671
26,,25561,16042
27,,61797,9697
28,,59031,47984
29,,1020,4
30,,61280,51832
31,,29240,36499
32,,21260,5852
33,,39466,34277
34,,8985,31300
35,,26862,21303
36,,50962,28736
37,,30515,48734
38,,49995,25604
39,,21373,34822
40,,28066,61320
41,,59900,14617
42,,63121,51128
43,,38118,32432
44,,54408,35754
45,,22924,6363
46,,18138,60936
47,,7204,35953
48,,39208,5456
49,,56351,30868
50,,49587,4134
51,,23523,44530
