,train,val,test
0,patient_056_node_3,patient_088_node_2,slide_58
1,patient_082_node_1,patient_020_node_0,patient_089_node_4
2,slide_306,slide_8,slide_23
3,slide_117,patient_083_node_0,slide_346
4,slide_52,patient_059_node_2,patient_010_node_2
5,slide_47,patient_042_node_0,slide_323
6,patient_023_node_4,patient_085_node_1,patient_034_node_2
7,patient_003_node_0,slide_108,slide_80
8,slide_340,patient_058_node_2,slide_27
9,patient_092_node_1,patient_031_node_4,slide_44
10,patient_026_node_0,slide_91,patient_061_node_1
11,slide_174,slide_14,slide_125
12,slide_353,slide_294,patient_002_node_4
13,patient_015_node_1,patient_017_node_0,slide_97
14,patient_062_node_3,patient_061_node_0,patient_065_node_1
15,patient_086_node_0,patient_086_node_3,slide_395
16,,slide_37,slide_45
17,,patient_098_node_4,slide_339
18,,slide_140,slide_298
19,,slide_9,patient_043_node_1
20,,slide_307,patient_097_node_2
21,,patient_052_node_4,slide_83
22,,slide_118,slide_19
23,,slide_124,slide_69
24,,patient_050_node_1,patient_049_node_0
25,,slide_42,patient_006_node_1
26,,patient_014_node_0,slide_62
27,,slide_397,patient_061_node_2
28,,patient_090_node_0,slide_81
29,,slide_331,patient_010_node_3
30,,patient_041_node_2,slide_33
31,,patient_025_node_4,patient_003_node_4
32,,slide_120,patient_098_node_3
33,,slide_95,slide_356
34,,patient_025_node_1,slide_46
35,,patient_083_node_1,patient_077_node_0
36,,patient_022_node_3,patient_071_node_0
37,,patient_083_node_2,patient_095_node_1
38,,slide_41,slide_388
39,,slide_101,slide_99
40,,patient_028_node_4,slide_376
41,,patient_008_node_2,patient_058_node_0
42,,slide_149,patient_035_node_4
43,,patient_015_node_3,slide_358
44,,slide_134,patient_083_node_4
45,,patient_059_node_4,patient_092_node_2
46,,patient_095_node_4,patient_090_node_1
47,,patient_084_node_1,patient_011_node_2
48,,patient_078_node_0,patient_050_node_3
49,,patient_023_node_1,patient_066_node_1
50,,patient_007_node_3,slide_305
51,,patient_030_node_2,slide_292
52,,patient_077_node_1,patient_070_node_2
53,,slide_10,slide_48
54,,patient_071_node_1,slide_21
55,,patient_001_node_0,slide_290
56,,slide_168,slide_343
57,,patient_068_node_1,slide_303
58,,patient_067_node_4,patient_065_node_0
59,,slide_348,patient_021_node_4
60,,patient_080_node_1,patient_052_node_0
61,,slide_268,slide_377
62,,patient_029_node_0,patient_033_node_3
63,,patient_028_node_2,slide_191
64,,slide_181,patient_052_node_3
65,,patient_011_node_0,patient_076_node_3
66,,patient_046_node_3,slide_183
67,,patient_016_node_1,patient_096_node_3
68,,slide_189,slide_246
69,,slide_195,patient_048_node_0
70,,slide_170,slide_255
71,,patient_065_node_4,patient_092_node_0
72,,patient_089_node_3,patient_014_node_4
73,,slide_239,patient_042_node_3
74,,slide_190,patient_005_node_4
75,,slide_333,patient_050_node_4
76,,patient_026_node_2,slide_231
77,,slide_334,slide_230
78,,patient_069_node_1,patient_026_node_4
79,,slide_196,slide_161
80,,slide_248,slide_229
81,,slide_252,patient_030_node_4
82,,slide_193,patient_024_node_2
83,,slide_265,slide_172
84,,patient_037_node_1,patient_047_node_2
85,,patient_008_node_0,slide_266
86,,slide_330,slide_386
87,,patient_052_node_2,patient_070_node_3
88,,slide_187,slide_203
89,,slide_160,slide_200
